iata,name,city,country,lat,lng
UTK,Utirik Airport,Utirik Island,MH,11.222219,169.851429
OCA,Ocean Reef Club Airport,Key Largo,US,25.325399,-80.274803
CSE,Crested Butte Airpark,Crested Butte,US,38.851918,-106.928341
CUS,Columbus Airport,Columbus,US,31.823898,-107.629924
JCY,LBJ Ranch Airport,Stonewall,US,30.251801,-98.622498
WLR,Loring Seaplane Base,Loring,US,55.601299,-131.636993
NUP,Nunapitchuk Airport,Nunapitchuk,US,60.905591,-162.440454
PTC,Port Alice Seaplane Base,Port Alice,US,55.803,-133.597
ICY,Icy Bay Airport,Icy Bay,US,59.966269,-141.660118
PPV,Port Protection Seaplane Base,Port Protection,US,56.3288,-133.610001
KKK,Kalakaket Creek AS Airport,Kalakaket Creek,US,64.4166256967,-156.820392609
MHS,Dunsmuir Muni-Mott Airport,Dunsmuir,US,41.263199,-122.272003
NIR,Chase Field Industrial Airport,Beeville,US,28.362444,-97.661917
GCT,Grand Canyon Bar Ten Airstrip,Littlefield,US,36.257984,-113.231063
ELW,Ellamar Seaplane Base,Ellamar,US,60.893818,-146.704038
LVD,Lime Village Airport,Lime Village,US,61.3591003418,-155.440002441
HGZ,Hog River Airport,Hogatza,US,66.176133,-155.684816
OTN,Ed-Air Airport,Oaktown,US,38.851782,-87.49987
TLF,Telida Airport,Telida,US,63.393902,-153.268997
BZT,Eagle Air Park,Brazoria,US,28.982200622559,-95.579696655273
HBH,Entrance Island Seaplane Base,Entrance Island,US,57.412201,-133.43848
FAK,False Island Seaplane Base,False Island,US,57.5321998596,-135.212997437
BYW,Blakely Island Airport,Blakely Island,US,48.579162,-122.823844
DRF,Drift River Airport,Kenai,US,60.588901519800004,-152.162002563
BDF,Rinkenberger Restricted Landing Area,Bradford,US,41.230899810800004,-89.61569976810001
TEH,Tetlin Airport,Tetlin,US,63.124618,-142.518005
VRS,Roy Otten Memorial Airfield,Versailles,US,38.427799224854,-92.875198364258
GDH,Golden Horn Lodge Seaplane Base,Golden Horn Lodge,US,59.7470016479,-158.875
ATT,Atmautluak Airport,Atmautluak,US,60.866699,-162.272996
LIV,Livengood Camp Airport,Livengood,US,65.467,-148.6534
PDB,Pedro Bay Airport,Pedro Bay,US,59.796925,-154.129994
KOZ,Ouzinkie Airport,Ouzinkie,US,57.942094,-152.464314
TNK,Tununak Airport,Tununak,US,60.569638,-165.246649
WHD,Hyder Seaplane Base,Hyder,US,55.903324,-130.009975
MNT,Minto Al Wright Airport,Minto,US,65.147991,-149.368658
TKI,Tokeen Seaplane Base,Tokeen,US,55.937099,-133.326996
WKK,Aleknagik / New Airport,Aleknagik,US,59.2826004028,-158.617996216
WFB,Ketchikan Harbor Seaplane Base,Ketchikan,US,55.349899,-131.677002
RFK,Rollang Field,Rolling Fork,US,32.953543,-90.845144
NNK,Naknek Airport,Naknek,US,58.735633,-157.02216
BKF,Lake Brooks Seaplane Base,Katmai National Park,US,58.554798,-155.776993
BCS,Southern Seaplane Airport,Belle Chasse,US,29.866078,-90.021608
MMN,Minute Man Air Field,Stow,US,42.460298,-71.519031
SPQ,Catalina Air-Sea Terminal Heliport,San Pedro,US,33.7491989136,-118.275001526
TSS,East 34th Street Heliport,New York,US,40.742372,-73.972074
NYS,New York Skyports Inc Seaplane Base,New York,US,40.735061,-73.972814
WYB,Yes Bay Lodge Seaplane Base,Yes Bay,US,55.916302,-131.800995
CWS,Center Island Airport,Center Island,US,48.490046,-122.831612
TEK,Tatitlek Airport,Tatitlek,US,60.871449,-146.690297
DUF,Pine Island Airport,Corolla,US,36.252744,-75.785256
SSW,Stuart Island Airpark,Friday Harbor,US,48.673379,-123.175439
FOB,Fort Bragg Airport,Fort Bragg,US,39.472445,-123.795319
PUL,Port of Poulsbo Marina Moorage Seaplane Base,Poulsbo,US,47.734001159668,-122.64700317383
CCD,Century City Heliport,Los Angeles,US,34.060798645,-118.417999268
WMK,Meyers Chuck Seaplane Base,Meyers Chuck,US,55.739601,-132.255005
AXB,Maxson Airfield,Alexandria Bay,US,44.312002,-75.90034
REE,Reese Airpark,Lubbock,US,33.590301513672,-102.03700256348
WDN,Waldron Airstrip,Eastsound,US,48.71141,-123.018208
WWP,Whale Pass Seaplane Float Harbor Facility,Whale Pass,US,56.116299,-133.121994
CHU,Chuathbaluk Airport,Chuathbaluk,US,61.579102,-159.216003
UGS,Ugashik Airport,Ugashik,US,57.523476,-157.396344
JID,Recreation and Conference Center Heliport,City of Industry,US,34.020472,-117.927396
PSQ,Philadelphia Seaplane Base,Essington,US,39.859001159668,-75.299598693848
KLL,Levelock Airport,Levelock,US,59.12606,-156.860906
SGW,Saginaw Seaplane Base,Saginaw Bay,US,56.886299,-134.158005
WTL,Tuntutuliak Airport,Tuntutuliak,US,60.351243,-162.654476
TWA,Twin Hills Airport,Twin Hills,US,59.074713,-160.274992
KCQ,Chignik Lake Airport,Chignik Lake,US,56.255001,-158.774994
AAD,Adado Airport,Adado,SO,6.095802,46.6375
ABP,Atkamba Airport,Atkamba Mission,PG,-6.06462,141.095173
ACM,Arica Airport,Arica,CO,-2.143713,-71.75935
ADV,El Daein Airport,El Daein,SD,11.4023,26.1186
DST,Dubai Seaplane Terminal,,AE,25.263,55.272
AEE,Adareil Airport,Adar,SS,10.053611,32.959444
AEQ,Ar Horqin Airport,Chifeng,CN,43.908407,120.15099
AFK,Kondavattavana Tank Seaplane Base,Ampara,LK,7.284,81.644
BBQ,Burton-Nibbs International Airport,Codrington,AG,17.621194,-61.798347
AFT,Afutara Aerodrome,Bila,SB,-9.191389,160.948611
RNA,Ulawa Airport,Arona,SB,-9.86054358262,161.979546547
ATD,Uru Harbour Airport,Atoifi,SB,-8.87333,161.011002
VEV,Barakoma Airport,Barakoma,SB,-7.912779808044434,156.70599365234375
BPF,Batuna Aerodrome,Batuna Mission Station,SB,-8.56202777778,158.119305556
GEF,Geva Airport,Liangia,SB,-7.575829982757568,156.5970001220703
AGG,Angoram Airport,Angoram,PG,-4.057077,144.073841
AKS,Gwaunaru'u Airport,Auki,SB,-8.70257,160.682007
BNY,Bellona/Anua Airport,Anua,SB,-11.302222222200001,159.798333333
CHY,Choiseul Bay Airport,Choiseul Bay,SB,-6.711944,156.396111
BAS,Ballalae Airport,Ballalae,SB,-6.990745,155.886656
FRE,Fera/Maringe Airport,Fera Island,SB,-8.1075,159.576996
HIR,Honiara International Airport,Honiara,SB,-9.428,160.054993
MBU,Babanakira Airport,Mbambanakira,SB,-9.7475,159.839005
AVU,Avu Avu Airport,Avu Avu,SB,-9.868333,160.410556
IRA,Ngorangora Airport,Kirakira,SB,-10.449700355500001,161.897994995
SCZ,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,SB,-10.7203,165.794998
MUA,Munda Airport,Munda,SB,-8.32797,157.263
GZO,Nusatupe Airport,Gizo,SB,-8.09778022766,156.863998413
MNY,Mono Airport,Stirling Island,SB,-7.41694,155.565002
PRS,Parasi Airport,Parasi,SB,-9.641670227050781,161.4250030517578
RNL,Rennell/Tingoa Airport,Rennell Island,SB,-11.55,160.062778
EGM,Sege Airport,Sege,SB,-8.57889,157.876007
NNB,Santa Ana Airport,Santa Ana Island,SB,-10.847994,162.454108
RUS,Marau Airport,Marau,SB,-9.86167,160.824997
VAO,Suavanao Airport,Suavanao,SB,-7.58556,158.731003
XYA,Yandina Airport,Yandina,SB,-9.092816,159.21841
AGK,Kagua Airport,Kagua,PG,-6.396388888890001,143.853611111
KGE,Kaghau Airport,Kagau Island,SB,-7.3305,157.585
KUE,Kukudu Airport,Kolombangara Island,SB,-8.0262,156.94783
KWS,Kwailabesi Airport,Kwailabesi,SB,-8.360508,160.775127
LLM,Lomlom Airport,Lomlom,SB,-10.296828,166.327322
NAZ,Nana Airport,Star Harbor,SB,-10.6758,162.2049
MHM,Manaoba Airport,Manaoba,SB,-8.325008,160.80051
GTA,Gatokae Aerodrome,Gatokae,SB,-8.738358,158.202836
RIN,Ringi Cove Airport,Ringi Cove,SB,-8.12639045715332,157.14300537109375
RBV,Ramata Airport,Ramata,SB,-8.168060302734375,157.64300537109375
TLG,Tulaghi Heliport,Tulaghi Island,SB,-9.108,160.149166667
AHY,Ambatolhy Airport,Ambatolahy,MG,-20.015833333299998,45.535
AIC,Ailinglaplap Airok Airport,Bigatyelang Island,MH,7.279422,168.8257
CEX,Chena Hot Springs Airport,Chena Hot Springs,US,65.0518035889,-146.04699707
SOL,Solomon State Field,Solomon,US,64.5605,-164.4457
HED,Herendeen Bay Airport,Herendeen Bay,US,55.802346,-160.901346
TWE,Taylor Airport,Taylor,US,65.6792984009,-164.798995972
KTH,Tikchik Lodge Seaplane Base,Tikchik,US,59.9631996155,-158.477005005
NKI,Naukati Bay Seaplane Base,Tuxekan Island,US,55.849602,-133.227994
CDL,Candle 2 Airport,Candle,US,65.907699585,-161.925994873
AOS,Amook Bay Seaplane Base,Amook Bay,US,57.4715003967,-153.815002441
BSW,Boswell Bay Airport,Boswell Bay,US,60.4230995178,-146.145996094
AKM,Zakuoma Airport,ZaKouma,TD,10.8902777778,19.8172222222
ALZ,Alitak Seaplane Base,Lazy Bay,US,56.897294,-154.249692
YUK,Syunik Airport,Kapan,AM,39.202272,46.455204
AME,Alto Molocue Airport,Alto Molocue,MZ,-15.6102777778,37.6813888889
AMY,Ambatomainty Airport,,MG,-17.686667,45.623889
INU,Nauru International Airport,Yaren,NR,-0.547893,166.919525
ANZ,Angus Downs Airport,Angus Downs Station,AU,-25.0325,132.2748
CTV,Catoca Airport,Saurimo,AO,-9.431359,20.311557
ANL,Andulo Airport,Andulo,AO,-11.4723,16.710899
CNZ,Cangamba Airport,Cangamba,AO,-13.7106,19.861099
DRC,Dirico Airport,Dirico,AO,-17.981924,20.768061
NDF,N'dalatando Airport,N'dalatando,AO,-9.280378,14.982432
AOB,Annanberg Airport,,PG,-4.90416666667,144.635833333
AOD,Abou-Deïa Airport,Abou-Deïa,TD,11.4773,19.2874
APP,Asapa Airport,,PG,-8.979167,148.103611
AQY,Girdwood-Alyeska Airport,Girdwood,US,60.968774,-149.119792
QRF,Bragado Airport,Bragado,AR,-35.145811,-60.480294
CVI,Caleta Olivia Airport,Caleta Olivia,AR,-46.37428,-67.59409
CNT,Charata Airport,Charata,AR,-27.2164,-61.2103
VGS,General Villegas Airport,General Villegas,AR,-34.995728,-62.999725
LMD,Los Menucos Airport,Los Menucos,AR,-40.817699,-68.074699
VCF,Valcheta Airport,Valcheta,AR,-40.700001,-66.150002
CPG,Carmen de Patagones Airport,Carmen de Patagones,AR,-40.7781,-62.9803
ARP,Aragip Airport,,PG,-9.88333333333,149.483333333
ASZ,Asirim Airport,,PG,-6.009722222220001,150.368611111
WFR,[Duplicate] Wolf's Fang Runway,Queen Maud Island,AQ,-71.5264,8.799459
LYT,Lady Elliot Island Airstrip,Lady Elliot Island,AU,-24.1129,152.7156
GYZ,Gruyere Airport,Cosmo Newbery,AU,-28.034548,123.81506
AGW,Agnew Airport,Agnew,AU,-12.1456,142.149369
AYD,Alroy Downs Airport,Alroy Downs,AU,-19.2908,136.078995
BYX,Baniyala Airport,Baniyala,AU,-13.1981,136.227005
COB,Coolibah Airport,Coolibah,AU,-15.548299789428711,130.96200561523438
CRJ,Coorabie Airport,Coorabie,AU,-31.894399642944336,132.29600524902344
CRY,Carlton Hill Airport,Carlton Hill,AU,-15.501899719238281,128.53399658203125
CSD,Cresswell Downs Airport,Cresswell Downs,AU,-17.947999954223633,135.91600036621094
DYM,Diamantina Lakes Airport,Diamantina Lakes,AU,-23.761699676513672,141.14500427246094
HIS,Hayman Island Resort Seaplane Base,Hayman Island,AU,-20.059999465942383,148.88099670410156
HLV,Helenvale Airport,Helenvale,AU,-15.685799598693848,145.21499633789062
KBD,Kimberley Downs Airport,Kimberley Downs,AU,-17.398577,124.355565
KGR,Kulgera Airport,Ghan,AU,-25.8428,133.292007
PEP,Peppimenarti Airport,Peppimenarti,AU,-14.1442,130.091003
RDA,Rockhampton Downs Airport,Rockhampton Downs,AU,-18.95330047607422,135.2010040283203
SSK,Sturt Creek Airport,Sturt Creek,AU,-19.166400909423828,128.1739959716797
SWB,Shaw River Airport,Shaw River,AU,-21.510299682617188,119.36199951171875
TWP,Torwood Airport,Torwood,AU,-17.363300323486328,143.75
ZVG,Springvale Airport,Springvale,AU,-17.7869,127.669998
AWR,Awar Airport (unusable),Awar,PG,-4.122278,144.853292
AXF,Alxa Left Banner Bayanhot Airport,Bayanhot,CN,38.748317,105.58416
AXO,Pantar Kabir Airport,Kabir,ID,-8.244832,124.219108
AMF,Ama Airport,,PG,-4.10111111111,141.67
UAE,Mount Aue Airport,Aue,PG,-6.229978,144.664181
AFR,Afore Airstrip,Afore,PG,-9.13867,148.390701
AUP,Agaun Airport,Agaun,PG,-9.927715,149.389951
ATP,Aitape Airport,Aitape,PG,-3.143611,142.346806
AIH,Aiambak Airport,Aiambak,PG,-7.342777777779999,141.2675
AMU,Amanab Airport,Amanab,PG,-3.586,141.214333333
ADC,Andakombe Airport,Andekombe,PG,-7.13722222222,145.744722222
AIE,Aiome Airport,Aiome,PG,-5.145699978,144.7307003
KPM,Kompiam Airport,,PG,-5.38166666667,143.924722222
AUJ,Ambunti Airport,Ambunti,PG,-4.21566666667,142.823166667
AWB,Awaba Airport,Awaba,PG,-8.013414,142.752099
AEK,Aseki Airport,Aseki,PG,-7.350805,146.193994
AYU,Aiyura Airport,Aiyura Valley,PG,-6.33805555556,145.904166667
VMU,Baimuru Airport,Baimuru,PG,-7.496955,144.821756
BCP,Bambu Airport,Bambu,PG,-5.863611111110001,146.4925
BNM,Bodinumu Airport,Bodinumu,PG,-9.107777777779999,147.666722222
BMZ,Bamu Airport,Bamu,PG,-7.8485,143.2433
BDZ,Baindoung Airport,,PG,-6.34722222222,146.942222222
BSP,Bensbach Airport,Bensbach,PG,-8.85805555556,141.259444444
BWP,Bewani Airport,Bewani,PG,-3.0216666666700003,141.165277778
BUA,Buka Airport,Buka Island,PG,-5.422299,154.672698
BAA,Bialla Airport,"Bialla, Matalilu, Ewase",PG,-5.3305602073700005,151.007995605
OPU,Balimo Airport,Balimo,PG,-8.05000019073,142.932998657
BMH,Bomai Airport,Bomai,PG,-6.37316666667,144.637
BPD,Bapi Airstrip,Bapi,PG,-7.743611111110001,147.020555556
BPK,Biangabip Airport,Biangabip,PG,-5.526389,141.744583
BRP,Biaru Airport,Biaru,PG,-7.6693,146.7594
BUL,Bulolo Airport,Bulolo,PG,-7.216286671410001,146.649541855
XBN,Biniguni Airport,Biniguni,PG,-9.6425,149.303889
CVB,Chungribu Airport,Chungribu,PG,-4.80662,144.714996
CGC,Cape Gloucester Airport,Cape Gloucester,PG,-5.455231,148.422289
CMU,Chimbu Airport,Kundiawa,PG,-6.024290084838867,144.9709930419922
SQT,China Strait Airstrip,Samarai Island,PG,-10.5627777778,150.690694444
DBP,Debepare Airport,Debepare,PG,-6.30861111111,141.905555556
DER,Derim Airport,Derim,PG,-6.14472222222,147.107222222
BNT,Bundi Airport,Bundi,PG,-5.742222222220001,145.2275
MDM,Munduku Airport,Munduku,PG,-4.6204,143.4516
KPF,Kondobol Airport,Kondobol,PG,-8.5336,142.5049
DNU,Dinangat Airport,Dinangat,PG,-6.1546,146.6772
DOI,Doini Airport,Castori Islets,PG,-10.7009,150.7218
DOO,Dorobisoro Airport,Dorobisoro,PG,-9.461855,147.920907
DAU,Daru Airport,Daru,PG,-9.08676,143.207993
KRU,Kerau Airport,Gunim,PG,-8.271612,147.071899
EMS,Embessa Airport,Embessa,PG,-9.447,148.7628
XYR,Edwaki Airport,Yellow River Mission,PG,-3.883986,141.792234
EMI,Emirau Airport,Emirau Island,PG,-1.653949991,149.9757667
EFG,Efogi Airport,Efogi,PG,-9.15380555556,147.659805556
MHY,Morehead Airport,Morehead,PG,-8.71411111111,141.644444444
EPT,Eliptamin Airport,Eliptamin,PG,-5.0412,141.6779
EGA,Engati Airstrip,Engati,PG,-6.9179,146.1053
EMO,Emo River Airstrip,Emo Mission,PG,-9.1234,148.0415
ERU,Erume Airport,Erume,PG,-8.2538,146.9747
MFZ,Meselia Airport,Demgulu,PG,-6.1364,149.1183
BOT,Bosset Airport,Bosset,PG,-7.237257,141.1063222
ERE,Erave Airport,Erave,PG,-6.60646315446,143.900213242
SWE,Siwea Airport,Siwea,PG,-6.284181,147.582371
FNE,Fane Airport,Fane Mission,PG,-8.54927777778,147.085833333
FRQ,Feramin Airport,Feramin,PG,-5.208,141.6988
FIN,Finschhafen Airport,Buki,PG,-6.621750109,147.85405
FAQ,Frieda River Airport,Frieda River,PG,-4.610468,141.960138
FUM,Fuma Airport,Fuma,PG,-6.3933,142.4408
GKA,Goroka Airport,Goronka,PG,-6.081689834590001,145.391998291
GEW,Gewoia Airport,Gewoia,PG,-9.2263,148.4949
GUG,Guari Airport,Guari,PG,-8.1286,146.8722
GRL,Garasa Airport,Au,PG,-7.980713,147.213461
GAR,Garaina Airport,Garaina,PG,-7.875625,147.141266
GAZ,Guasopa Airport,Woodlark (Muyua) Island,PG,-9.225918,152.944352
GOE,Gonaili Airport,Gonaili,PG,-5.527716614,151.5733333
GUR,Gurney Airport,Gurney,PG,-10.3114995956,150.333999634
GAP,Gusap Airport,Gusap,PG,-6.053196,145.959047
PNP,Girua Airport,Popondetta,PG,-8.80453968048,148.309005737
GBC,Gasuke Airport,Gasuke,PG,-6.1028,141.7393
GMI,Gasmata Island Airport,Gasmata Island,PG,-6.27111005783,150.330993652
AKG,Anguganak Airport,Anguganak,PG,-3.560504,142.217307
GVI,Green River Airport,Green River,PG,-3.9022428989400004,141.170516968
GOC,Gora Airstrip,Gora,PG,-9.0021,148.2364
HBD,Habi Airport,Habi,PG,-6.32,142.4893
HNI,Heiweni Airport,Heiweni,PG,-7.4223,146.4276
HYF,Hayfields Airport,Bainyik,PG,-3.69838,143.057902
HNN,Honinabi Airport,Honinabi,PG,-6.2457,142.1771
HKN,Hoskins Airport,Kimbe,PG,-5.463846,150.407327
HIT,Haivaro Airport,Haivaro,PG,-6.9406,143.059
HWA,Hawabango Airport,Hawabango,PG,-7.392994,146.003487
IIS,Nissan Island Airport,Nissan Island,PG,-4.49972009659,154.225997925
IDN,Indagen Airport,Indagen,PG,-6.22663,147.244
IMN,Imane Airport,Imane,PG,-6.7524,146.1072
KGM,Kungim Airport,Kungim,PG,-5.671,141.03
IMD,Imonda Airport,Imonda,PG,-3.328,141.1573
KIE,Aropa Airport,Kieta,PG,-6.305727,155.728249
IAL,Ialibu Airport,Ialibu,PG,-6.2782,143.9944
WSA,Wasua Airport,Wasua,PG,-8.2836,142.8697
WIU,Witu Airport,Garove Island,PG,-4.689522,149.440112
MPX,Miyanmin Airport,Miyanmin,PG,-4.903055555560001,141.620833333
KGH,Yongai Airport,Yongai,PG,-8.5289,147.4603
JOP,Josephstaal Airport,Josephstaal,PG,-4.74708333333,145.007083333
LSA,Losuia Airport,Losuia,PG,-8.505820274353027,151.08099365234375
KBM,Kabwum,,PG,-6.15547222222,147.191472222
KDR,Kandrian Airport,Kandrian,PG,-6.19217,149.54783
KMF,Kamina Airport,Hoieti,PG,-7.64925,145.956944444
KPA,Kopiago Airport,Kopiago,PG,-5.3883,142.4977
KAQ,Kamulai Airport,Kamulai Mission,PG,-8.150694444440001,146.834
UNG,Kiunga Airport,Kiunga,PG,-6.1257100105285645,141.28199768066406
KNE,Kanainj Airport,Kanainj,PG,-5.2903,144.7072
KRI,Kikori Airport,Kikori,PG,-7.42438,144.250076
KMA,Kerema Airport,Kerema,PG,-7.96361017227,145.770996094
KKD,Kokoda Airport,Kokoda,PG,-8.884679,147.730957
KGW,Kagi Airport,Kagi,PG,-9.135916666670001,147.669444444
KRX,Kar Kar Airport,Kar Kar Island,PG,-4.557,145.9404
KZF,Kaintiba Airport,Kaintiba,PG,-7.50025,146.033833333
KUQ,Kuri Airport,Kuri,PG,-7.135083,143.276111
KVG,Kavieng Airport,Kavieng,PG,-2.57940006256,150.807998657
KWO,Kawito Airport,Kawito,PG,-7.977006912229999,142.823577881
LNV,Londolovit Airport,Londolovit,PG,-3.04361009598,152.628997803
LAB,Lab Lab Airport,Lab Lab Mission,PG,-5.7204,148.0566
KEG,Keglsugl Airport,Denglagu Mission,PG,-5.83277777778,145.097222222
KII,Kibuli Airstrip,Kibuli,PG,-9.006528,142.698056
LGN,Linga Linga Airport,Linga Linga,PG,-5.5319444444400006,149.734166667
LNM,Langimar Airport,,PG,-7.22313888889,146.227083333
LWI,Lowai Airport,Lowai,PG,-6.3344,146.6458
LPN,Leron Plains Airport,Leron Plains,PG,-6.3917,146.3434
LNG,Lese Airport,Lese,PG,-8.2799,146.2765
LNC,Lengbati Airport,,PG,-6.384611111110001,147.368638889
LMI,Lumi Airport,Lumi,PG,-3.47683951134,142.041292191
LSJ,Long Island Airport,Long Island,PG,-5.3604,147.0177
AYM,Yas Island Seaplane Base,Abu Dhabi,AE,24.467,54.6103
MRM,Manari Airport,Manari,PG,-9.1908,147.6219
OBM,Morobe Airport,Morobe,PG,-7.74,147.59
MYX,Menyamya Airport,Menyamya,PG,-7.21166666667,146.019361111
MAG,Madang Airport,Madang,PG,-5.20707988739,145.789001465
HGU,Mount Hagen Kagamuga Airport,Mount Hagen,PG,-5.828212,144.299412
MXK,Mindik Airport,Mindik,PG,-6.47166666667,147.441138889
MPG,Makini Airport,Makini,PG,-6.532222222220001,147.651166667
GUV,Mougulu Airport,Mougulu,PG,-6.280859,142.420775
MDU,Mendi Airport,Mendi,PG,-6.14774,143.656998
MAS,Momote Airport,Manus Island,PG,-2.06189,147.423996
MLQ,Malalaua Airport,Malalaua,PG,-8.07138888889,146.155472222
MQO,Malam Airport,Malam,PG,-8.70916666667,142.649722222
MXH,Moro Airport,Moro,PG,-6.36332988739,143.238006592
MIS,Misima Island Airport,Misima Island,PG,-10.689200401299999,152.837997437
MKN,Malekolon Airport,Babase Island,PG,-4.02343055556,153.657277778
MWG,Marawaka Airport,Marawaka,PG,-6.9736,145.8849
MPU,Mapua(Mabua) Airport,Tatau Island,PG,-2.81138888889,151.991111111
NKN,Nankina Airport,Gwarawon,PG,-5.837,146.4533
KEX,Kanabea Airport,Kanabea,PG,-7.538888888890001,145.905
NDN,Nadunumu Airport,Nadunumu,PG,-9.14355555556,147.68425
AUI,Aua Island Airport,Aua Island,PG,-1.46055555556,143.064722222
GBF,Negarbo(Negabo) Airport,Negarbo,PG,-6.567778,144.703058
MFO,Manguna Airport,Manguna,PG,-5.577778,151.792333
NUG,Nuguria Airstrip,Nuguria Island,PG,-3.4075,154.7383
NDI,Namudi Airport,Namudi,PG,-9.47375,148.329416667
KSB,Kasonombe Airport,Kasonombe,PG,-6.3819,146.9859
KDP,Kandep Airport,Kandep,PG,-5.84061111111,143.507222222
NMN,Nomane Airport,Namane,PG,-6.32183,145.070667
BXZ,Bunsil Airport,Bunsil - Umboi Island,PG,-5.7243,147.8667
UKU,Nuku Airport,Nuku,PG,-3.676765,142.48492
ATN,Namatanai Airport,Namatanai,PG,-3.6695,152.438
NBA,Nambaiyufa Airport,Nambaiyufa,PG,-6.2412,145.2424
LAE,Nadzab Tomodachi International Airport,Lae,PG,-6.567995,146.726544
OBX,Obo Airport,Obo,PG,-7.590622421369999,141.324262619
KGB,Konge Airport,Konge,PG,-6.2239,147.2152
OKV,Okao Airport,Okao,PG,-5.55666666667,141.032777778
OGE,Ogeranang Airport,,PG,-6.46675,147.364166667
OKP,Oksapmin Airport,Oksapmin,PG,-5.2261,142.2259
HOC,Komako Airport,Komako,PG,-7.3984,145.8827
KQL,Kol Airport,Kol,PG,-5.73116666667,144.846
OSE,Omora Airport,Omora,PG,-7.82777777778,147.080638889
KOM,Komo-Manda Airport,Komo,PG,-6.0682,142.8598
KSP,Kosipe Airport,Kosipe Mission,PG,-8.450716,147.209195
KCJ,Komaio Airport,Komaio,PG,-7.2714,143.5952
OLQ,Olsobip Airport,Olsobip,PG,-5.3897222222200005,141.515277778
KDE,Koroba Airport,Koroba,PG,-5.6952,142.7441
OPB,Open Bay Airport,Maitanakunai,PG,-4.794727,151.696195
PLE,Paiela Airport,Paiela,PG,-5.372407,142.975774
PGB,Pangoa Airport,Pangoa,PG,-7.0226,141.5605
PDI,Pindiu Airport,Pindiu,PG,-6.445138888890001,147.515833333
APR,April River Airport,April River,PG,-4.67666666667,142.540138889
PGN,Pangia Airport,Pangia,PG,-6.386,144.1084
PMP,Pimaga Airport,Pimaga,PG,-6.49916666667,143.510277778
MPF,Mapoda Airport,Mapoda,PG,-7.979,143.1694
PMN,Pumani Airport,Pumani,PG,-9.7469,149.4766
WLU,Walluanda Airport,Puri,PG,-6.475161,143.987222
POM,Port Moresby Jacksons International Airport,Port Moresby,PG,-9.443380355834961,147.22000122070312
KRJ,Karawari Airstrip,Amboin,PG,-4.59666666667,143.5225
TLP,Tumolbil Airport,Tumolbil,PG,-4.7748,141.0133
SPH,Sopu Airport,Sopu,PG,-8.3038,147.1659
ONB,Ononge Airport,Onange Mission,PG,-8.67436111111,147.262416667
SXA,Sialum Airport,Sialum,PG,-6.0908,147.5955
KIQ,Kira Airport,Kira,PG,-8.065111111110001,147.332027778
RBP,Raba Raba Airport,Rabaraba,PG,-9.97111111111,149.832222222
RMN,Rumginae Airport,,PG,-5.89722222222,141.271666667
KMR,Karimui Airport,Karimui,PG,-6.4921,144.823
RKU,Kairuku Airport,Yule Island,PG,-8.817000054,146.5243833
MWI,Maramuni Airport,Maramuni,PG,-5.13,143.4829
KOR,Kakoro(Koroko) Airstrip,Kakoro,PG,-7.8346666666700004,146.5335
MRH,May River Airstrip,May River,PG,-4.3615,141.785
SBE,Suabi Airport,,PG,-6.10444444444,142.278333333
SDI,Saidor Airport,Saidor,PG,-5.62713888889,146.462777778
NIS,Simberi Airport,Simberi Island,PG,-2.66222222222,151.997777778
SFU,Safia Airport,Safia,PG,-9.59305555556,148.636111111
SIL,Sila Airport,Sila Mission,PG,-9.07355555556,148.38925
SBV,Sabah Airport,Sabah,PG,-5.5765,155.0489
SIM,Simbai Airport,Simbai,PG,-5.278611111110001,144.544722222
SGK,Sengapi Airstrip,Sengapi,PG,-5.12583333333,144.323611111
SXH,Sehulea Airport,Sehulea,PG,-9.96452777778,151.161861111
SBC,Selbang Airport,Selbang,PG,-5.315,141.752
SMH,Sapmanga Airport,Sapmanga,PG,-6.075277777779999,146.811111111
SPV,Sepik Plains Airport,Sepik Plains,PG,-3.8821,143.6734
TDS,Sasereme Airport,Sasereme,PG,-7.6217,142.868
SKC,Suki Airport,Suki,PG,-8.0466,141.7222
SXW,Sauren Airport,Sauren,PG,-5.9701,148.8543
SWG,Satwag Airport,Satwag,PG,-6.13955555556,147.279166667
MBV,Masa Airport,Masa,PG,-6.345,147.591
TIZ,Tari Airport,Tari,PG,-5.845,142.947998
TBG,Tabubil Airport,Tabubil,PG,-5.280471,141.227576
TFM,Telefomin Airport,Telefomin,PG,-5.12608,141.641922
TDB,Tetebedi Airport,Tetebedi,PG,-9.1586,148.0686
TGL,Tagula Airport,Sudest Island,PG,-11.3311111111,153.202916667
TFB,Tifalmin Airport,Tifalmin,PG,-5.117249,141.418076
TPI,Tapini Airport,Tapini,PG,-8.35666666667,146.989166667
RAB,Tokua Airport,Kokopo,PG,-4.34046,152.380005
TKW,Tekin Airport,Tekin,PG,-5.243667,142.165194
KDQ,Kamberatoro Airport,Kamberatoro Mission,PG,-3.600556,141.051667
TEP,Tep Tep Airport,Teptep,PG,-5.9553,146.5595
TBQ,Tarabo Airport,Tarabo,PG,-6.46666666667,145.532222222
TSW,Tsewi Airport,Tsewi,PG,-7.0695,146.1272
TRJ,Tarakbits Airport,Tarakbits,PG,-5.614,141.0421
